Player,Discord Name,Twitch Name,FF1 Placing,FF2 Placing,BB1 Placing,FF3 Placing,BB2 Placing,eligible,reason
Bee,ayybeebaby,AyyBeeBaby,-1,-1,-1,66,-1,Yes,Eligible for FF4
Belespr1t,belesprit,Belespr1t,33,79,-1,66,-1,No,"Played in FF1, FF2, and FF3"
BioRoxas,bioroxas,BioRoxas,-1,79,-1,66,-1,Yes,Eligible for FF4
BloodBoltOmega,bloodboltomega,BloodBoltOmega,-1,-1,-1,33,-1,Yes,Eligible for FF4
blu_flamingo411,blu_flamingo411,blu_flamingo411,5,-1,-1,-1,-1,No,Top 16 in FF1 (Placed #5)
BlueBleo,,BlueBleoGaming,-1,-1,-1,66,-1,Yes,Eligible for FF4
BrandonGlovich,brandonglovich,brandonglovich,-1,-1,-1,9,-1,No,Top 32 in FF3 (Placed #9)
Bravidunno,bravidunno,BraviDunno,50,79,-1,33,-1,No,"Played in FF1, FF2, and FF3"
Brisk Apollo,briskapollo,Brisk Apollo,-1,-1,-1,66,-1,Yes,Eligible for FF4
BubblesSirCat,itsjustbubbles,BubblesSircat,-1,-1,-1,66,-1,Yes,Eligible for FF4
c3pown,c3pown,c3pown,-1,33,17,-1,14,Yes,Eligible for FF4
caliburny_tv,caliburny,caliburny_tv,9,-1,-1,-1,-1,No,Top 16 in FF1 (Placed #9)
CEPO,._cepo_.,CEPOStreams,33,-1,-1,66,-1,Yes,Eligible for FF4
CesarMartins12,cesarmartins12,CesarMartins12,-1,-1,-1,66,-1,Yes,Eligible for FF4
Chaineh,chaineh,Chaineh,-1,-1,-1,33,-1,Yes,Eligible for FF4
Chaoscontrolchannel,cdrom1019,ChaosControlChannel,-1,33,17,33,-1,Yes,Eligible for FF4
cheez,,cheezNoodle,-1,-1,-1,33,-1,Yes,Eligible for FF4
Chfou,chfou,chfou,-1,-1,17,33,-1,Yes,Eligible for FF4
chrisaegrimm,chrisaegrimm,chrisaegrimm,-1,-1,-1,66,-1,Yes,Eligible for FF4
ChrisMackGames,chrismackgames,ChrisMackGames,33,-1,-1,-1,-1,Yes,Eligible for FF4
City_hall,cityhall,city_hall,-1,1,-1,-1,-1,No,Top 16 in FF2 (Placed #1)
Clarke,clarke_streams,Clarke_Streams,-1,-1,-1,33,-1,Yes,Eligible for FF4
ClunKCC,clunkcc,ClunKCC,-1,3,-1,-1,-1,No,Top 16 in FF2 (Placed #3)
codinome_silent,silentvini,Codinome_Silent,-1,33,-1,17,-1,No,Top 32 in FF3 (Placed #17)
Coxymelody,coxymelody,Coxymelody,-1,79,17,66,-1,Yes,Eligible for FF4
creepola,fng_creepa,creepola,-1,-1,-1,66,-1,Yes,Eligible for FF4
CrunchyMadoka,crunchymadoka,CrunchyMadoka,-1,-1,-1,66,-1,Yes,Eligible for FF4
d0uce,douce1337,d0uce,17,33,-1,66,-1,No,"Played in FF1, FF2, and FF3"
Dair_,dair,Dairr_,-1,3,-1,-1,-1,No,Top 16 in FF2 (Placed #3)
dallin1016,dallin1016,dallin1016,-1,79,-1,9,-1,No,Top 32 in FF3 (Placed #9)
danimalforlife,danimalforlife,danimalforlife,33,17,-1,-1,-1,Yes,Eligible for FF4
dankeydunk,dankeydunk,DankeyDunk,17,33,-1,-1,-1,Yes,Eligible for FF4
decksays,decksays,Decksays,-1,-1,-1,9,9,No,Top 32 in FF3 (Placed #9)
DecOut,decout,??,-1,-1,-1,66,-1,Yes,Eligible for FF4
demonics,idemonics,mister_lolzalot,-1,-1,17,-1,17,Yes,Eligible for FF4
demonlordXXIV,demonlordXXIV,demonlordxv,-1,-1,17,17,-1,No,Top 32 in FF3 (Placed #17)
DJPRS,djprs,dj_prs,-1,-1,-1,33,-1,Yes,Eligible for FF4
DMPeyer,,DMPeyer,-1,-1,-1,66,-1,Yes,Eligible for FF4
Dogd93,dogd93,Dogd93,-1,-1,-1,17,-1,No,Top 32 in FF3 (Placed #17)
DotDot,.5966,dotdot00,-1,-1,-1,-1,3,No,Bracket finalist in BB2 (Placed #3)
Dr_Tobey,remote249,Dr_Tobey,-1,33,17,9,-1,No,Top 32 in FF3 (Placed #9)
draxthephoenix,draxthephoenix,DraxthePhoenix,-1,9,-1,-1,-1,No,Top 16 in FF2 (Placed #9)
Duraax,duraax,Duraax01,-1,-1,-1,33,-1,Yes,Eligible for FF4
DXD,,TheTwilightEmissary,-1,-1,-1,66,-1,Yes,Eligible for FF4
EeXVeE,xvwhiteyvx,EeXVeE,-1,33,-1,-1,-1,Yes,Eligible for FF4
EfinaMagicite,,EfinaMagicite,-1,-1,-1,66,-1,Yes,Eligible for FF4
Eldorath122,eldorath,Eldorath122,-1,33,-1,-1,-1,Yes,Eligible for FF4
Evoker,,Evokey_,-1,-1,-1,66,-1,Yes,Eligible for FF4
FauxRetro,fauxretro,FauxRetro,-1,-1,-1,66,-1,Yes,Eligible for FF4
Faythe,faiff_k,faiff_k,-1,-1,-1,66,-1,Yes,Eligible for FF4
Felix_DuBois,Felix_DuBois,Felix_DuBois,-1,17,-1,9,-1,No,Top 32 in FF3 (Placed #9)
Firebolt,firebolt,Fireboltssb,9,-1,-1,-1,-1,No,Top 16 in FF1 (Placed #9)
Fishonastick_gaming,fishonastick,fishonastick_gaming,-1,79,17,66,9,Yes,Eligible for FF4
Flametusk,sllandre,flametusk,-1,-1,-1,66,-1,Yes,Eligible for FF4
flamyphantom,stephgh1,flamyphantom,33,79,-1,-1,-1,Yes,Eligible for FF4
flash_am,flash_am,Flash_am,-1,17,17,-1,9,Yes,Eligible for FF4
Flootena,flootenaa,Flootena,-1,-1,-1,66,-1,Yes,Eligible for FF4
flowleyd,flowleyd,Flowleyd,-1,-1,5,-1,-1,No,Bracket finalist in BB1 (Placed #5)
FrightKnight,FrightKnight0,FrightKnight0,-1,-1,-1,-1,17,Yes,Eligible for FF4
Froppy_VR,.froppy.,Froppy_VR,-1,-1,17,17,4,No,Top 32 in FF3 (Placed #17)
Gabrieljcampos,gabrieljcampos,gabrieljcampos,-1,33,-1,33,-1,Yes,Eligible for FF4
gamefunatic_prime,gamefunatic,gamefunatic_prime,-1,33,-1,66,-1,Yes,Eligible for FF4
Gamer9536,gamer9536,gamer9536,-1,-1,-1,66,-1,Yes,Eligible for FF4
Genowarzone,genowarzone,Genowarzone,-1,-1,-1,66,-1,Yes,Eligible for FF4
GeorgeBonkers,georgebonkers,georgebonkers,33,-1,-1,66,-1,Yes,Eligible for FF4
goldenspacedragon,goldenspaceddragon,goldenspacedragon,-1,33,-1,-1,-1,Yes,Eligible for FF4
Hangman96,sillyhangman,Hangman96,-1,-1,-1,66,-1,Yes,Eligible for FF4
Hanklet69,hanklet69,Hanklet69,-1,79,-1,66,-1,Yes,Eligible for FF4
hasrock36,hasrock36,hasrock36,-1,79,-1,66,-1,Yes,Eligible for FF4
Hatu,hatu,Hatu7,-1,-1,-1,17,-1,No,Top 32 in FF3 (Placed #17)
Hellfireskyrim,hellfireskyrim,hellfireskyrim,-1,-1,-1,66,-1,Yes,Eligible for FF4
hetaliangemini,hetaliangemini,hetaliangemini,-1,-1,-1,66,-1,Yes,Eligible for FF4
Huha59,"huha8207
",Huha59,33,-1,-1,-1,-1,Yes,Eligible for FF4
Illu_sama,illuminati_sama,Illu_sama,33,79,-1,9,17,No,Top 32 in FF3 (Placed #9)
ItsKasa,itskasa,itskasa,-1,-1,-1,-1,-1,Yes,Eligible for FF4
ItzQuarkium,itzquarkium,itzQuarkium,-1,-1,-1,1,-1,No,Top 32 in FF3 (Placed #1)
iwuzhere9,iwuzhere9,poopcityDOTcom,-1,-1,-1,33,5,No,Bracket finalist in BB2 (Placed #5)
jjhrogers_dj,jjhrogers,jjhrogers_dj,-1,33,-1,-1,-1,Yes,Eligible for FF4
JoeBanjo,joebanjo,Joebanjo42,-1,-1,-1,66,-1,Yes,Eligible for FF4
Kallat11,kallat,Kallat11,9,-1,-1,-1,-1,No,Top 16 in FF1 (Placed #9)
Katurday_Night,katurday_night,katurday_night,-1,-1,-1,66,-1,Yes,Eligible for FF4
KekoDeLoco,kekodeloco,KekoDeLoco,-1,33,17,33,-1,Yes,Eligible for FF4
Kenshiro_R,kenshiro_r,Kenshiro_R,-1,79,-1,-1,-1,Yes,Eligible for FF4
KeybladeBrett,keybladebrett,KeybladeBrett,-1,-1,-1,66,-1,Yes,Eligible for FF4
Keyoftime15,keyoftime15,KeyofTime15,-1,79,-1,66,-1,Yes,Eligible for FF4
KHGuides,khguides,KHGuides,-1,-1,-1,66,-1,Yes,Eligible for FF4
king_kevin01,kingkevin01.3905,sneakykevin01,-1,79,-1,-1,-1,Yes,Eligible for FF4
kissingmiko,kissingmiko,cutemiko,-1,-1,17,-1,-1,Yes,Eligible for FF4
kisudawisu,kisudawisu,kisudawisu,17,-1,17,-1,-1,Yes,Eligible for FF4
LanzTheMaster,lanzthemaster,LanzTheMaster,-1,79,-1,66,-1,Yes,Eligible for FF4
Lardypon,lardypon,lardypon,33,33,17,33,-1,No,"Played in FF1, FF2, and FF3"
Lazy_Afternoon,lazy_afternoon,lazy_afternoon,-1,-1,-1,66,-1,Yes,Eligible for FF4
Limk44203,limk44203,derLimk,-1,-1,-1,66,-1,Yes,Eligible for FF4
Link_Hylian,link___hylian,link___hylian,-1,33,-1,66,-1,Yes,Eligible for FF4
lolpuffin,lolpuffin,lolpuffin,1,-1,17,-1,-1,No,Top 16 in FF1 (Placed #1)
loraloodlelo,loraloodlelo,loraloodlelo,-1,-1,-1,66,-1,Yes,Eligible for FF4
lowkeymatt,lowkeymatt,lowkeymattyt,,,,66,-1,Yes,Eligible for FF4
Luminous Nagissa,,LuminousNagissa,-1,-1,-1,66,-1,Yes,Eligible for FF4
Lunar Sketch,lunar_sketch,LunarSketch,-1,-1,-1,66,-1,Yes,Eligible for FF4
Maclaque,maclaque,maclaque,-1,-1,-1,66,-1,Yes,Eligible for FF4
mae321,,mae321,50,-1,-1,-1,-1,Yes,Eligible for FF4
MainStun,main_stun,MainStun,-1,-1,-1,33,-1,Yes,Eligible for FF4
Mallow,ma1low,,50,-1,-1,-1,-1,Yes,Eligible for FF4
MamzelleSunshine,.mamzelleshunshine,mamzellesunshine,-1,-1,-1,17,9,No,Top 32 in FF3 (Placed #17)
masterglint,glint1337,Masterglint,5,-1,-1,-1,-1,No,Top 16 in FF1 (Placed #5)
MasterSora1993,omegakeyblade1,,-1,-1,-1,66,-1,Yes,Eligible for FF4
MaxSchersey,maxschersey,MaxSchersey,-1,-1,-1,33,-1,Yes,Eligible for FF4
Mel0dyHM,mel0dyhm,mel0dyhm,-1,-1,-1,66,-1,Yes,Eligible for FF4
MirageIW,mirageiw,MirageIW,-1,79,-1,33,-1,Yes,Eligible for FF4
MiratheSage,mirathesage,mirathesage,33,33,-1,-1,-1,Yes,Eligible for FF4
Mokonasakaidono,mokonasakaidono,mokonasakaidono,-1,33,5,-1,-1,No,Bracket finalist in BB1 (Placed #5)
MonsterMashMC,monstermashmc,monstermashmc,33,79,-1,66,-1,No,"Played in FF1, FF2, and FF3"
MrJuanUp,mrjuanup,MrJuanUp,-1,33,-1,66,-1,Yes,Eligible for FF4
MrTourix,tourix,MrTourix,-1,9,-1,-1,-1,No,Top 16 in FF2 (Placed #9)
msscotty,msscotty,msscotty,-1,-1,-1,3,9,No,Top 32 in FF3 (Placed #3)
NaClSteve,naclsteve,NaClSteve,-1,-1,-1,66,-1,Yes,Eligible for FF4
Naydem,naydem,Naydem,33,33,17,-1,-1,Yes,Eligible for FF4
Nea Fotia,neafotia,NeaFotia,-1,-1,17,33,-1,Yes,Eligible for FF4
NerdyDisasterFluffle,nerdydisasterfluffle,NerdyDisasterFluffle,50,33,-1,66,-1,No,"Played in FF1, FF2, and FF3"
Nexiclo_VIII,,nexiclo_viii,-1,-1,-1,66,-1,Yes,Eligible for FF4
nicopi08,,nicopi08,-1,79,-1,-1,-1,Yes,Eligible for FF4
NightOwl35,nightowl35,NightOwl35,-1,33,-1,33,-1,Yes,Eligible for FF4
nihaodylan,nihaodylan0825,NiHaoDylan0825,-1,-1,-1,33,-1,Yes,Eligible for FF4
Niosai,niosai,Niosai,-1,79,-1,66,-1,Yes,Eligible for FF4
NobodyDaxian,nobodydaxian,NobodyDaxian,9,-1,-1,-1,-1,No,Top 16 in FF1 (Placed #9)
Offical_Redwood,,offical_redwood,-1,-1,-1,33,-1,Yes,Eligible for FF4
OG_Skraxx,og_skraxx,OG_Skraxx,9,-1,-1,-1,-1,No,Top 16 in FF1 (Placed #9)
OmicronGamma,omicrongamma,OmicronGamma,-1,33,-1,-1,-1,Yes,Eligible for FF4
Onykyky,onikyky,onykyky,-1,-1,-1,17,-1,No,Top 32 in FF3 (Placed #17)
OpeningUpAshelynn,,VoidWalkerCyanide,-1,-1,-1,66,-1,Yes,Eligible for FF4
PandaPyre,pandapyre,PandaPyre,-1,33,-1,5,-1,No,Top 32 in FF3 (Placed #5)
paopukomi,paopukomi,PaopuKomi,17,-1,-1,-1,-1,Yes,Eligible for FF4
Patoxx,patoxx,Patoxx99,-1,-1,-1,66,-1,Yes,Eligible for FF4
Petrik_Gaming,petrik.,petrik_gaming,-1,-1,17,33,17,Yes,Eligible for FF4
PGJoshua,pgjosh,PGJoshua,17,9,-1,-1,-1,No,Top 16 in FF2 (Placed #9)
Photomix,Photomix,Photomix,50,-1,-1,-1,-1,Yes,Eligible for FF4
PimpofGames,pimpofgames,PimpofGames,-1,-1,-1,66,-1,Yes,Eligible for FF4
PixelShake92,pixelshake92,PixelShake92,-1,33,-1,-1,-1,Yes,Eligible for FF4
Plasmaniac,plasmaniac,Plasmaniac,-1,79,-1,-1,-1,Yes,Eligible for FF4
PlayerZero,playerzerostart,PlayerZeroStart,-1,-1,-1,66,-1,Yes,Eligible for FF4
PliXaZ,plixaz,PliXaZ,-1,-1,-1,33,5,No,Bracket finalist in BB2 (Placed #5)
podgy713,podgy713,podgy713,-1,-1,-1,9,1,No,Top 32 in FF3 (Placed #9)
PowerForge,powerforge,PowerForge,-1,33,9,-1,-1,Yes,Eligible for FF4
ProdigyxCD,prodigyxcd,ProdigyxCD,-1,-1,-1,33,-1,Yes,Eligible for FF4
Pump',scp_1060,pump_delaplaya,-1,-1,-1,17,-1,No,Top 32 in FF3 (Placed #17)
PunningLinguist,punninglinguist,Punning_Linguist,-1,17,17,33,17,Yes,Eligible for FF4
quatmaniac,quatmaniac,quatmaniac,-1,33,9,-1,-1,Yes,Eligible for FF4
quatopine,,quatopine,33,-1,-1,-1,-1,Yes,Eligible for FF4
QuixoticPuffles,quixoticpuffles,QuixoticPuffles,-1,79,-1,-1,-1,Yes,Eligible for FF4
R1_Dawg,ridawg,R1_Dawg,-1,79,-1,-1,-1,Yes,Eligible for FF4
RadiantGardeners,vallience,RadiantGardeners,-1,-1,-1,66,-1,Yes,Eligible for FF4
Rafa,rafa_speedruns,Rafa_Speedruns,-1,-1,-1,66,-1,Yes,Eligible for FF4
raven_ct6,ravenct6,Ravenx_Z,-1,9,9,-1,-1,No,Top 16 in FF2 (Placed #9)
ravspect,ravspect,ravspect,9,-1,-1,-1,-1,No,Top 16 in FF1 (Placed #9)
RaynKaiser,raynkaiser,raynkaiser,2,-1,-1,-1,-1,No,Top 16 in FF1 (Placed #2)
RebelWatt,rebelwatt,RebelWatt,-1,-1,-1,33,-1,Yes,Eligible for FF4
RegularPatYT,regularpat,RegularPatYT,-1,33,-1,66,-1,Yes,Eligible for FF4
Reivilox,Reivilox,reivilox,-1,-1,-1,-1,9,Yes,Eligible for FF4
Revalier,revaleir,Revaleir,17,79,-1,17,-1,No,Top 32 in FF3 (Placed #17)
Rider43,rider43,sonicrider18,17,9,7,-1,-1,No,Top 16 in FF2 (Placed #9)
robtomcow,robtomcow,robtomcow,17,-1,-1,-1,-1,Yes,Eligible for FF4
Roenmaru,roenmaru,Roenmaru,-1,33,-1,66,-1,Yes,Eligible for FF4
Rojomage,rojomagettv,Rojomage,-1,33,-1,-1,-1,Yes,Eligible for FF4
RushinAssassin,Rushin,RushinAssassin,-1,17,-1,-1,-1,Yes,Eligible for FF4
rustwalker,rustwalker,Rustwalker,-1,79,-1,-1,-1,Yes,Eligible for FF4
RXS013,rxs013,RXS013,-1,-1,-1,66,-1,Yes,Eligible for FF4
RyuuRush,ryuurush,RyuuRush,9,-1,-1,-1,-1,No,Top 16 in FF1 (Placed #9)
S0nzero,sonzero,S0nzero,-1,2,-1,-1,-1,No,Top 16 in FF2 (Placed #2)
Sageaza,sageaza,sageaza1413,-1,79,-1,-1,-1,Yes,Eligible for FF4
saharahinfinity,saharahinfinity,saharahinfinity,-1,-1,-1,66,-1,Yes,Eligible for FF4
sai3rina,sai3rina,SAI3RINA,33,-1,-1,-1,-1,Yes,Eligible for FF4
schwarzehexebw88,schwarzehexebw88,schwarzehexebw8,-1,-1,-1,66,17,Yes,Eligible for FF4
scoutjd,scoutjd,,50,-1,-1,-1,-1,Yes,Eligible for FF4
seraf04,seraf04,Seraf04,-1,-1,-1,66,-1,Yes,Eligible for FF4
sharlobun,sharlobun,Sharlobun,-1,-1,-1,-1,-1,Yes,Eligible for FF4
shelldude400,shelldude400,Shelldude400,-1,-1,-1,33,-1,Yes,Eligible for FF4
ShikiKairib,shikikairib,ShikiKairib,-1,-1,-1,17,-1,No,Top 32 in FF3 (Placed #17)
SilentBrow,silentbrow,SilentBrow,-1,17,9,-1,-1,Yes,Eligible for FF4
Skudd,skudd,Skudd,-1,33,-1,66,-1,Yes,Eligible for FF4
SkyPilotSamurai,skypilotsamurai,SkyPilotSamurai,-1,79,-1,66,-1,Yes,Eligible for FF4
slinq17,slinq17,slinq17,-1,33,-1,33,-1,Yes,Eligible for FF4
Sneaky Snivy,sneaky_snivy,Sneaky_Snivy,-1,-1,-1,66,-1,Yes,Eligible for FF4
SpaceVelocityX,spacevx1,SpaceVelocityX,-1,79,-1,-1,-1,Yes,Eligible for FF4
squarefan7,squarefan7,squarefanff7,-1,9,4,-1,-1,No,Top 16 in FF2 (Placed #9)
StandardX,standardxx,StandardXXXXX,-1,-1,-1,66,-1,Yes,Eligible for FF4
subconjazz,subconjazz,subconjazz,33,17,-1,-1,-1,Yes,Eligible for FF4
SuperSonicJedi99,supersonic_jedi,SuperSonicJedi99,-1,-1,-1,66,-1,Yes,Eligible for FF4
SweepingRocks,sweepingrocksfsa,sweepingrocks,17,-1,-1,17,-1,No,Top 32 in FF3 (Placed #17)
Syilensa,syilensa,SyiLenSa,50,-1,-1,-1,5,No,Bracket finalist in BB2 (Placed #5)
Tazer_Two,tazer_two,Tazer_Two,-1,5,3,-1,-1,No,Top 16 in FF2 (Placed #5)
TazerOne,tazerone,TazerOne,-1,-1,-1,66,17,Yes,Eligible for FF4
technobytes,technobytes,technobytes,-1,-1,-1,17,9,No,Top 32 in FF3 (Placed #17)
The DarkBane,thedarkbane,TheLilacBane,-1,-1,-1,66,-1,Yes,Eligible for FF4
The_Retrocade,keebles,,50,-1,-1,-1,-1,Yes,Eligible for FF4
thea_vt,thea_vt,thea_vt,-1,33,-1,33,-1,Yes,Eligible for FF4
TheLoonyFox,theloonyfox,TheLoonyFox,-1,-1,-1,66,-1,Yes,Eligible for FF4
TheNja09,thenja09,TheNja09,9,-1,-1,-1,-1,No,Top 16 in FF1 (Placed #9)
Thequeenhelena,thequeenhelena,thequeenhelena,-1,33,-1,17,-1,No,Top 32 in FF3 (Placed #17)
tibbs775,tibbs775,tibbs_gaming,17,-1,9,-1,5,No,Bracket finalist in BB2 (Placed #5)
Tide_HR,likeordietmr,Tide_HR,-1,-1,-1,66,-1,Yes,Eligible for FF4
Timbo176,timbo176,Timbo176,50,17,17,5,5,No,Top 32 in FF3 (Placed #5)
tippyturner,tippyturner,tippyturner,-1,-1,2,-1,-1,No,Bracket finalist in BB1 (Placed #2)
ToonFlux,toonflux,ToonFlux,-1,79,-1,-1,-1,Yes,Eligible for FF4
TopazTK,topaztk,topazwtk,-1,-1,-1,33,-1,Yes,Eligible for FF4
Tragodile,tragodile,Tragodile,-1,33,-1,-1,-1,Yes,Eligible for FF4
Trashpizza,trashpizza,HalfEatenTrashPizza,-1,-1,17,-1,-1,Yes,Eligible for FF4
Trikkums,trikkums,Trikkums,-1,5,-1,-1,-1,No,Top 16 in FF2 (Placed #5)
tso15,tso15,Tso15,-1,33,-1,5,-1,No,Top 32 in FF3 (Placed #5)
tsunamidono,tsunamidono,TsunamiDono,-1,9,-1,-1,-1,No,Top 16 in FF2 (Placed #9)
turtlefish,turtlefish,leigonlord,-1,-1,-1,66,-1,Yes,Eligible for FF4
ugh_sunlight,ugh_sunlight,Ugh_Sunlight,33,79,17,-1,-1,Yes,Eligible for FF4
UkiMiyoshi,ukimiyoshi,UkiMiyoshi,-1,5,-1,-1,-1,No,Top 16 in FF2 (Placed #5)
UncleTilt,uncletilt,uncletiltt,-1,-1,-1,66,-1,Yes,Eligible for FF4
Unversed_Dox,unverseddox,Unversed_Dox,-1,17,-1,2,2,No,Top 32 in FF3 (Placed #2)
VanillaCrescent,vanillacrescent,VanillaCrescent,-1,-1,-1,66,-1,Yes,Eligible for FF4
Veloalopus,veloalopus,Veloalopus,-1,33,-1,17,-1,No,Top 32 in FF3 (Placed #17)
via_skalixn,via_skalixn,via_skalixn,-1,-1,-1,33,-1,Yes,Eligible for FF4
vilotchild,vilotchild,vilotchild,-1,17,17,66,-1,Yes,Eligible for FF4
VorpalGlaive,vorpalglaive,VorpalGlaive,-1,33,-1,-1,-1,Yes,Eligible for FF4
VulkHylan,vulk,VulkHylan,-1,17,-1,-1,-1,Yes,Eligible for FF4
WaffleMagik,wafflemagic,WaffleMagik,5,-1,-1,-1,-1,No,Top 16 in FF1 (Placed #5)
WarehouseJesus,warehousejesus,warehousejesus,3,-1,-1,-1,-1,No,Top 16 in FF1 (Placed #3)
weatherboyjohn,weatherboyjohn,WeatherBoyJohn,-1,79,-1,-1,-1,Yes,Eligible for FF4
WeOnlyWynn,weonlywynn,WeOnlyWynn,-1,-1,-1,66,-1,Yes,Eligible for FF4
windblown_leaf,windblownleaf,windblown_leaf,33,5,-1,-1,-1,No,Top 16 in FF2 (Placed #5)
windyyawshiA,windyyawshi,windyyawshi,-1,-1,17,-1,17,Yes,Eligible for FF4
Wolfclaw83,wolfclaw83,Wolfclaw83,-1,33,-1,-1,-1,Yes,Eligible for FF4
wolfscout18,wolfscout18,WoIfscout18,3,-1,10,-1,-1,No,Top 16 in FF1 (Placed #3)
WonderBop,wonderbop,WonderBop,-1,-1,-1,17,-1,No,Top 32 in FF3 (Placed #17)
X_Nocturnal_X,nocturnal806,x_Nocturnal_x,17,-1,-1,66,-1,Yes,Eligible for FF4
Xalamence,xalamence,Xalamance,-1,-1,-1,9,17,No,Top 32 in FF3 (Placed #9)
Xavi1337,xavi4,Xavi1337,-1,79,-1,-1,-1,Yes,Eligible for FF4
Xekbar,xekbar,Xekbar,-1,-1,-1,66,-1,Yes,Eligible for FF4
Xemnas,,XemnasV,-1,-1,-1,66,-1,Yes,Eligible for FF4
Xuio,xuio,Xuio007,-1,-1,-1,66,-1,Yes,Eligible for FF4
Yang,yangerzone,Out_With_A_Yang_,-1,-1,-1,66,-1,Yes,Eligible for FF4
Zatamataz,zatamataz,Zatamataz,-1,33,5,-1,-1,No,Bracket finalist in BB1 (Placed #5)
zero_probability,zero_probability,Zero_Probability,-1,17,-1,-1,-1,Yes,Eligible for FF4
Zojalyx,zojalyx,Zojalyx,-1,33,17,-1,-1,Yes,Eligible for FF4
Zyren,zyren75,zyren_x,-1,-1,-1,66,9,Yes,Eligible for FF4
