Player,Discord Name,Twitch Name,FF1 Placing,FF2 Placing,BB1 Placing,FF3 Placing,BB2 Placing
BubblesSirCat,itsjustbubbles,BubblesSircat,-1,-1,-1,66,-1
c3pown,c3pown,c3pown,-1,33,17,-1,16
caliburny_tv,caliburny,caliburny_tv,9,-1,-1,-1,-1
CEPO,._cepo_.,CEPOStreams,33,-1,-1,66,-1
CesarMartins12,cesarmartins12,CesarMartins12,-1,-1,-1,66,-1
Chaineh,chaineh,Chaineh,-1,-1,-1,33,-1
Chaoscontrolchannel,cdrom1019,ChaosControlChannel,-1,33,17,33,-1
cheez,,cheezNoodle,-1,-1,-1,33,-1
Chfou,chfou,chfou,-1,-1,17,33,-1
chrisaegrimm,chrisaegrimm,chrisaegrimm,-1,-1,-1,66,-1
ChrisMackGames,chrismackgames,ChrisMackGames,33,-1,-1,-1,-1
City_hall,cityhall,city_hall,-1,1,-1,-1,-1
Clarke,clarke_streams,Clarke_Streams,-1,-1,-1,33,-1
ClunKCC,clunkcc,ClunKCC,-1,3,-1,-1,-1
codinome_silent,silentvini,Codinome_Silent,-1,33,-1,17,-1
Coxymelody,coxymelody,Coxymelody,-1,79,17,66,-1
creepola,fng_creepa,creepola,-1,-1,-1,66,-1
CrunchyMadoka,crunchymadoka,CrunchyMadoka,-1,-1,-1,66,-1
d0uce,douce1337,d0uce,17,33,-1,66,-1
Dair_,dair,Dairr_,-1,3,-1,-1,-1
dallin1016,dallin1016,dallin1016,-1,79,-1,9,-1
danimalforlife,danimalforlife,danimalforlife,33,17,-1,-1,-1
dankeydunk,dankeydunk,DankeyDunk,17,33,-1,-1,-1
decksays,decksays,Decksays,-1,-1,-1,9,9
DecOut,decout,??,-1,-1,-1,66,-1
demonics,idemonics,mister_lolzalot,-1,-1,17,-1,17
demonlordXXIV,demonlordXXIV,demonlordxv,-1,-1,17,17,-1
DJPRS,djprs,dj_prs,-1,-1,-1,33,-1
DMPeyer,,DMPeyer,-1,-1,-1,66,-1
Dogd93,dogd93,Dogd93,-1,-1,-1,17,-1
DotDot,.5966,dotdot00,-1,-1,-1,-1,3
Dr_Tobey,remote249,Dr_Tobey,-1,33,17,9,-1
draxthephoenix,draxthephoenix,DraxthePhoenix,-1,9,-1,-1,-1
Duraax,duraax,Duraax01,-1,-1,-1,33,-1
DXD,,TheTwilightEmissary,-1,-1,-1,66,-1
EeXVeE,xvwhiteyvx,EeXVeE,-1,33,-1,-1,-1
EfinaMagicite,,EfinaMagicite,-1,-1,-1,66,-1
Eldorath122,eldorath,Eldorath122,-1,33,-1,-1,-1
Evoker,,Evokey_,-1,-1,-1,66,-1
FauxRetro,fauxretro,FauxRetro,-1,-1,-1,66,-1
Faythe,faiff_k,faiff_k,-1,-1,-1,66,-1
Felix_DuBois,Felix_DuBois,Felix_DuBois,-1,17,-1,9,-1
Firebolt,firebolt,Fireboltssb,9,-1,-1,-1,-1
Fishonastick_gaming,fishonastick,fishonastick_gaming,-1,79,17,66,9
Flametusk,sllandre,flametusk,-1,-1,-1,66,-1
flamyphantom,stephgh1,flamyphantom,33,79,-1,-1,-1
flash_am,flash_am,Flash_am,-1,17,17,-1,9
Flootena,flootenaa,Flootena,-1,-1,-1,66,-1
flowleyd,flowleyd,Flowleyd,-1,-1,5,-1,-1
FrightKnight,FrightKnight0,FrightKnight0,-1,-1,-1,-1,17
Froppy_VR,.froppy.,Froppy_VR,-1,-1,17,17,4
Gabrieljcampos,gabrieljcampos,gabrieljcampos,-1,33,-1,33,-1
gamefunatic_prime,gamefunatic,gamefunatic_prime,-1,33,-1,66,-1
Gamer9536,gamer9536,gamer9536,-1,-1,-1,66,-1
Genowarzone,genowarzone,Genowarzone,-1,-1,-1,66,-1
GeorgeBonkers,georgebonkers,georgebonkers,33,-1,-1,66,-1
goldenspacedragon,goldenspaceddragon,goldenspacedragon,-1,33,-1,-1,-1
Hangman96,sillyhangman,Hangman96,-1,-1,-1,66,-1
Hanklet69,hanklet69,Hanklet69,-1,79,-1,66,-1
hasrock36,hasrock36,hasrock36,-1,79,-1,66,-1
Hatu,hatu,Hatu7,-1,-1,-1,17,-1
Hellfireskyrim,hellfireskyrim,hellfireskyrim,-1,-1,-1,66,-1
hetaliangemini,hetaliangemini,hetaliangemini,-1,-1,-1,66,-1
Huha59,"huha8207",Huha59,33,-1,-1,-1,-1
Illu_sama,illuminati_sama,Illu_sama,33,79,-1,9,17
ItsKasa,itskasa,itskasa,-1,-1,-1,-1,-1
ItzQuarkium,itzquarkium,itzQuarkium,-1,-1,-1,1,-1
iwuzhere9,iwuzhere9,poopcityDOTcom,-1,-1,-1,33,5
jjhrogers_dj,jjhrogers,jjhrogers_dj,-1,33,-1,-1,-1
JoeBanjo,joebanjo,Joebanjo42,-1,-1,-1,66,-1
Kallat11,kallat,Kallat11,9,-1,-1,-1,-1
Katurday_Night,katurday_night,katurday_night,-1,-1,-1,66,-1
KekoDeLoco,kekodeloco,KekoDeLoco,-1,33,17,33,-1
Kenshiro_R,kenshiro_r,Kenshiro_R,-1,79,-1,-1,-1
KeybladeBrett,keybladebrett,KeybladeBrett,-1,-1,-1,66,-1
Keyoftime15,keyoftime15,KeyofTime15,-1,79,-1,66,-1
KHGuides,khguides,KHGuides,-1,-1,-1,66,-1
king_kevin01,kingkevin01.3905,sneakykevin01,-1,79,-1,-1,-1
kissingmiko,kissingmiko,cutemiko,-1,-1,17,-1,-1
kisudawisu,kisudawisu,kisudawisu,17,-1,17,-1,-1
LanzTheMaster,lanzthemaster,LanzTheMaster,-1,79,-1,66,-1
Lardypon,lardypon,lardypon,33,33,17,33,-1
Lazy_Afternoon,lazy_afternoon,lazy_afternoon,-1,-1,-1,66,-1
Limk44203,limk44203,derLimk,-1,-1,-1,66,-1
Link_Hylian,link___hylian,link___hylian,-1,33,-1,66,-1
lolpuffin,lolpuffin,lolpuffin,1,-1,17,-1,-1
loraloodlelo,loraloodlelo,loraloodlelo,-1,-1,-1,66,-1
lowkeymatt,lowkeymatt,lowkeymattyt,,,,66,-1
Luminous Nagissa,,LuminousNagissa,-1,-1,-1,66,-1
Lunar Sketch,lunar_sketch,LunarSketch,-1,-1,-1,66,-1
Maclaque,maclaque,maclaque,-1,-1,-1,66,-1
mae321,,mae321,50,-1,-1,-1,-1
MainStun,main_stun,MainStun,-1,-1,-1,33,-1
Mallow,ma1low,,50,-1,-1,-1,-1
MamzelleSunshine,.mamzelleshunshine,mamzellesunshine,-1,-1,-1,17,9
masterglint,glint1337,Masterglint,5,-1,-1,-1,-1
MasterSora1993,omegakeyblade1,,-1,-1,-1,66,-1
MaxSchersey,maxschersey,MaxSchersey,-1,-1,-1,33,-1
Mel0dyHM,mel0dyhm,mel0dyhm,-1,-1,-1,66,-1
MirageIW,mirageiw,MirageIW,-1,79,-1,33,-1
MiratheSage,mirathesage,mirathesage,33,33,-1,-1,-1
Mokonasakaidono,mokonasakaidono,mokonasakaidono,-1,33,5,-1,-1
MonsterMashMC,monstermashmc,monstermashmc,33,79,-1,66,-1
MrJuanUp,mrjuanup,MrJuanUp,-1,33,-1,66,-1
MrTourix,tourix,MrTourix,-1,9,-1,-1,-1
msscotty,msscotty,msscotty,-1,-1,-1,3,9
NaClSteve,naclsteve,NaClSteve,-1,-1,-1,66,-1
Naydem,naydem,Naydem,33,33,17,-1,-1
Nea Fotia,neafotia,NeaFotia,-1,-1,17,33,-1
NerdyDisasterFluffle,nerdydisasterfluffle,NerdyDisasterFluffle,50,33,-1,66,-1
Nexiclo_VIII,,nexiclo_viii,-1,-1,-1,66,-1
nicopi08,,nicopi08,-1,79,-1,-1,-1
NightOwl35,nightowl35,NightOwl35,-1,33,-1,33,-1
nihaodylan,nihaodylan0825,NiHaoDylan0825,-1,-1,-1,33,-1
Niosai,niosai,Niosai,-1,79,-1,66,-1
NobodyDaxian,nobodydaxian,NobodyDaxian,9,-1,-1,-1,-1
Offical_Redwood,,offical_redwood,-1,-1,-1,33,-1
OG_Skraxx,og_skraxx,OG_Skraxx,9,-1,-1,-1,-1
OmicronGamma,omicrongamma,OmicronGamma,-1,33,-1,-1,-1
Onykyky,onikyky,onykyky,-1,-1,-1,17,-1
OpeningUpAshelynn,,VoidWalkerCyanide,-1,-1,-1,66,-1
PandaPyre,pandapyre,PandaPyre,-1,33,-1,5,-1
paopukomi,paopukomi,PaopuKomi,17,-1,-1,-1,-1
Patoxx,patoxx,Patoxx99,-1,-1,-1,66,-1
Petrik_Gaming,petrik.,petrik_gaming,-1,-1,17,33,17
PGJoshua,pgjosh,PGJoshua,17,9,-1,-1,-1
Photomix,Photomix,Photomix,50,-1,-1,-1,-1
PimpofGames,pimpofgames,PimpofGames,-1,-1,-1,66,-1
PixelShake92,pixelshake92,PixelShake92,-1,33,-1,-1,-1
Plasmaniac,plasmaniac,Plasmaniac,-1,79,-1,-1,-1
PlayerZero,playerzerostart,PlayerZeroStart,-1,-1,-1,66,-1
PliXaZ,plixaz,PliXaZ,-1,-1,-1,33,5
podgy713,podgy713,podgy713,-1,-1,-1,9,1
PowerForge,powerforge,PowerForge,-1,33,9,-1,-1
ProdigyxCD,prodigyxcd,ProdigyxCD,-1,-1,-1,33,-1
Pump',scp_1060,pump_delaplaya,-1,-1,-1,17,-1
PunningLinguist,punninglinguist,Punning_Linguist,-1,17,17,33,17
quatmaniac,quatmaniac,quatmaniac,-1,33,9,-1,-1
quatopine,,quatopine,33,-1,-1,-1,-1
QuixoticPuffles,quixoticpuffles,QuixoticPuffles,-1,79,-1,-1,-1
R1_Dawg,ridawg,R1_Dawg,-1,79,-1,-1,-1
RadiantGardeners,vallience,RadiantGardeners,-1,-1,-1,66,-1
Rafa,rafa_speedruns,Rafa_Speedruns,-1,-1,-1,66,-1
raven_ct6,ravenct6,Ravenx_Z,-1,9,9,-1,-1
ravspect,ravspect,ravspect,9,-1,-1,-1,-1
RaynKaiser,raynkaiser,raynkaiser,2,-1,-1,-1,-1
RebelWatt,rebelwatt,RebelWatt,-1,-1,-1,33,-1
RegularPatYT,regularpat,RegularPatYT,-1,33,-1,66,-1
Reivilox,Reivilox,reivilox,-1,-1,-1,-1,9
Revalier,revaleir,Revaleir,17,79,-1,17,-1
Rider43,rider43,sonicrider18,17,9,16,-1,-1
robtomcow,robtomcow,robtomcow,17,-1,-1,-1,-1
Roenmaru,roenmaru,Roenmaru,-1,33,-1,66,-1
Rojomage,rojomagettv,Rojomage,-1,33,-1,-1,-1
RushinAssassin,Rushin,RushinAssassin,-1,17,-1,-1,-1
rustwalker,rustwalker,Rustwalker,-1,79,-1,-1,-1
RXS013,rxs013,RXS013,-1,-1,-1,66,-1
RyuuRush,ryuurush,RyuuRush,9,-1,-1,-1,-1
S0nzero,sonzero,S0nzero,-1,2,-1,-1,-1
Sageaza,sageaza,sageaza1413,-1,79,-1,-1,-1
saharahinfinity,saharahinfinity,saharahinfinity,-1,-1,-1,66,-1
sai3rina,sai3rina,SAI3RINA,33,-1,-1,-1,-1
schwarzehexebw88,schwarzehexebw88,schwarzehexebw8,-1,-1,-1,66,17
scoutjd,scoutjd,,50,-1,-1,-1,-1
seraf04,seraf04,Seraf04,-1,-1,-1,66,-1
sharlobun,sharlobun,Sharlobun,-1,-1,-1,-1,-1
shelldude400,shelldude400,Shelldude400,-1,-1,-1,33,-1
ShikiKairib,shikikairib,ShikiKairib,-1,-1,-1,17,-1
SilentBrow,silentbrow,SilentBrow,-1,17,9,-1,-1
Skudd,skudd,Skudd,-1,33,-1,66,-1
SkyPilotSamurai,skypilotsamurai,SkyPilotSamurai,-1,79,-1,66,-1
slinq17,slinq17,slinq17,-1,33,-1,33,-1
Sneaky Snivy,sneaky_snivy,Sneaky_Snivy,-1,-1,-1,66,-1
SpaceVelocityX,spacevx1,SpaceVelocityX,-1,79,-1,-1,-1
squarefan7,squarefan7,squarefanff7,-1,9,4,-1,-1
StandardX,standardxx,StandardXXXXX,-1,-1,-1,66,-1
subconjazz,subconjazz,subconjazz,33,17,-1,-1,-1
SuperSonicJedi99,supersonic_jedi,SuperSonicJedi99,-1,-1,-1,66,-1
SweepingRocks,sweepingrocksfsa,sweepingrocks,17,-1,-1,17,-1
Syilensa,syilensa,SyiLenSa,50,-1,-1,-1,5
Tazer_Two,tazer_two,Tazer_Two,-1,5,3,-1,-1
TazerOne,tazerone,TazerOne,-1,-1,-1,66,17
technobytes,technobytes,technobytes,-1,-1,-1,17,9
The DarkBane,thedarkbane,TheLilacBane,-1,-1,-1,66,-1
The_Retrocade,keebles,,50,-1,-1,-1,-1
thea_vt,thea_vt,thea_vt,-1,33,-1,33,-1
TheLoonyFox,theloonyfox,TheLoonyFox,-1,-1,-1,66,-1
TheNja09,thenja09,TheNja09,9,-1,-1,-1,-1
Thequeenhelena,thequeenhelena,thequeenhelena,-1,33,-1,17,-1
tibbs775,tibbs775,tibbs_gaming,17,-1,9,-1,16
Tide_HR,likeordietmr,Tide_HR,-1,-1,-1,66,-1
Timbo176,timbo176,Timbo176,50,17,17,5,5
tippyturner,tippyturner,tippyturner,-1,-1,2,-1,-1
ToonFlux,toonflux,ToonFlux,-1,79,-1,-1,-1
TopazTK,topaztk,topazwtk,-1,-1,-1,33,-1
Tragodile,tragodile,Tragodile,-1,33,-1,-1,-1
Trashpizza,trashpizza,HalfEatenTrashPizza,-1,-1,17,-1,-1
Trikkums,trikkums,Trikkums,-1,5,-1,-1,-1
tso15,tso15,Tso15,-1,33,-1,5,-1
tsunamidono,tsunamidono,TsunamiDono,-1,9,-1,-1,-1
turtlefish,turtlefish,leigonlord,-1,-1,-1,66,-1
ugh_sunlight,ugh_sunlight,Ugh_Sunlight,33,79,17,-1,-1
UkiMiyoshi,ukimiyoshi,UkiMiyoshi,-1,5,-1,-1,-1
UncleTilt,uncletilt,uncletiltt,-1,-1,-1,66,-1
Unversed_Dox,unverseddox,Unversed_Dox,-1,17,-1,2,2
VanillaCrescent,vanillacrescent,VanillaCrescent,-1,-1,-1,66,-1
Veloalopus,veloalopus,Veloalopus,-1,33,-1,17,-1
via_skalixn,via_skalixn,via_skalixn,-1,-1,-1,33,-1
vilotchild,vilotchild,vilotchild,-1,17,17,66,-1
VorpalGlaive,vorpalglaive,VorpalGlaive,-1,33,-1,-1,-1
VulkHylan,vulk,VulkHylan,-1,17,-1,-1,-1
WaffleMagik,wafflemagic,WaffleMagik,5,-1,-1,-1,-1
WarehouseJesus,warehousejesus,warehousejesus,3,-1,-1,-1,-1
weatherboyjohn,weatherboyjohn,WeatherBoyJohn,-1,79,-1,-1,-1
WeOnlyWynn,weonlywynn,WeOnlyWynn,-1,-1,-1,66,-1
windblown_leaf,windblownleaf,windblown_leaf,33,5,-1,-1,-1
windyyawshiA,windyyawshi,windyyawshi,-1,-1,17,-1,17
Wolfclaw83,wolfclaw83,Wolfclaw83,-1,33,-1,-1,-1
wolfscout18,wolfscout18,WoIfscout18,3,-1,16,-1,-1
WonderBop,wonderbop,WonderBop,-1,-1,-1,17,-1
X_Nocturnal_X,nocturnal806,x_Nocturnal_x,17,-1,-1,66,-1
Xalamence,xalamence,Xalamance,-1,-1,-1,9,17
Xavi1337,xavi4,Xavi1337,-1,79,-1,-1,-1
Xekbar,xekbar,Xekbar,-1,-1,-1,66,-1
Xemnas,,XemnasV,-1,-1,-1,66,-1
Xuio,xuio,Xuio007,-1,-1,-1,66,-1
Yang,yangerzone,Out_With_A_Yang_,-1,-1,-1,66,-1
Zatamataz,zatamataz,Zatamataz,-1,33,5,-1,-1
zero_probability,zero_probability,Zero_Probability,-1,17,-1,-1,-1
Zojalyx,zojalyx,Zojalyx,-1,33,17,-1,-1
Zyren,zyren75,zyren_x,-1,-1,-1,66,9
